k,alpha,beta,size,edge_num,ngil,nsil,num_of_clusters,time,method,seed
4,0.5,0.5,100,362,0.2956,0.0073,25,2.9181,SaNGreeA,4
4,0.5,0.5,300,6084,0.3044,0.0005,75,41.2822,SaNGreeA,4
4,0.5,0.5,500,36254,0.3272,0.0001,125,251.0126,SaNGreeA,4
4,1.0,1.0,100,362,0.2956,0.0073,25,2.9785,SaNGreeA,4
4,1.0,1.0,300,6084,0.3044,0.0005,75,41.2954,SaNGreeA,4
4,1.0,1.0,500,36254,0.3272,0.0001,125,251.4187,SaNGreeA,4
6,1.0,0.0,100,362,0.3571,0.0472,16,3.7369,SaNGreeA,4
6,1.0,0.0,300,6084,0.2136,0.0075,50,53.4049,SaNGreeA,4
6,1.0,0.0,500,36254,0.1693,0.0084,83,364.4982,SaNGreeA,4
6,1.0,0.5,100,362,0.4283,0.0513,16,3.7483,SaNGreeA,4
6,1.0,0.5,300,6084,0.3463,0.0012,50,53.9949,SaNGreeA,4
6,1.0,0.5,500,36254,0.3746,0.0002,83,369.9166,SaNGreeA,4
6,0.5,1.0,100,362,0.518,0.0346,16,3.7433,SaNGreeA,4
6,0.5,1.0,300,6084,0.4417,0.0008,50,54.6664,SaNGreeA,4
6,0.5,1.0,500,36254,0.4561,0.0002,83,370.6581,SaNGreeA,4
6,0.5,0.5,100,362,0.518,0.0346,16,3.7599,SaNGreeA,4
6,0.5,0.5,300,6084,0.4332,0.001,50,54.8286,SaNGreeA,4
6,0.5,0.5,500,36254,0.4508,0.0002,83,363.3803,SaNGreeA,4
6,1.0,1.0,100,362,0.518,0.0346,16,3.6986,SaNGreeA,4
6,1.0,1.0,300,6084,0.4332,0.001,50,53.2451,SaNGreeA,4
6,1.0,1.0,500,36254,0.4508,0.0002,83,360.7661,SaNGreeA,4
8,1.0,0.0,100,362,0.4284,0.093,12,3.9977,SaNGreeA,4
8,1.0,0.0,300,6084,0.2827,0.0188,37,62.316,SaNGreeA,4
8,1.0,0.0,500,36254,0.2214,0.0186,62,451.0803,SaNGreeA,4
8,1.0,0.5,100,362,0.4873,0.084,12,4.0482,SaNGreeA,4
8,1.0,0.5,300,6084,0.4227,0.0021,37,65.6541,SaNGreeA,4
8,1.0,0.5,500,36254,0.465,0.0005,62,493.734,SaNGreeA,4
8,0.5,1.0,100,362,0.522,0.0762,12,4.4817,SaNGreeA,4
8,0.5,1.0,300,6084,0.5754,0.0022,37,70.6155,SaNGreeA,4
8,0.5,1.0,500,36254,0.5473,0.0005,62,503.8993,SaNGreeA,4
8,0.5,0.5,100,362,0.522,0.0762,12,4.3787,SaNGreeA,4
8,0.5,0.5,300,6084,0.5352,0.0021,37,70.1407,SaNGreeA,4
8,0.5,0.5,500,36254,0.5284,0.0006,62,504.058,SaNGreeA,4
8,1.0,1.0,100,362,0.522,0.0762,12,4.377,SaNGreeA,4
8,1.0,1.0,300,6084,0.5352,0.0021,37,70.2446,SaNGreeA,4
8,1.0,1.0,500,36254,0.5284,0.0006,62,503.8195,SaNGreeA,4
10,1.0,0.0,100,362,0.3772,0.1365,10,4.3528,SaNGreeA,4
10,1.0,0.0,300,6084,0.3043,0.0389,30,74.1572,SaNGreeA,4
10,1.0,0.0,500,36254,0.2266,0.0337,50,574.7717,SaNGreeA,4
10,1.0,0.5,100,362,0.4243,0.1244,10,4.3634,SaNGreeA,4
10,1.0,0.5,300,6084,0.4526,0.0195,30,80.4171,SaNGreeA,4
10,1.0,0.5,500,36254,0.4585,0.0006,50,618.7616,SaNGreeA,4
10,0.5,1.0,100,362,0.5572,0.1212,10,4.4278,SaNGreeA,4
10,0.5,1.0,300,6084,0.6143,0.0196,30,80.9516,SaNGreeA,4
10,0.5,1.0,500,36254,0.5948,0.0006,50,618.7106,SaNGreeA,4
10,0.5,0.5,100,362,0.508,0.1213,10,4.4432,SaNGreeA,4
10,0.5,0.5,300,6084,0.5731,0.0198,30,81.591,SaNGreeA,4
10,0.5,0.5,500,36254,0.5192,0.0007,50,616.8902,SaNGreeA,4
10,1.0,1.0,100,362,0.508,0.1213,10,4.582,SaNGreeA,4
10,1.0,1.0,300,6084,0.5731,0.0198,30,81.6593,SaNGreeA,4
10,1.0,1.0,500,36254,0.5192,0.0007,50,616.0505,SaNGreeA,4
2,1.0,0.0,100,362,0.074,0.0,50,0.8031,Precision,4
2,1.0,0.0,300,6084,0.0567,0.0001,150,15.5336,Precision,4
2,1.0,0.0,500,36254,0.0555,0.0,250,131.418,Precision,4
2,1.0,0.5,100,362,0.0746,0.0,50,0.7898,Precision,4
2,1.0,0.5,300,6084,0.0651,0.0,150,14.1801,Precision,4
2,1.0,0.5,500,36254,0.0589,0.0,250,110.885,Precision,4
2,0.5,1.0,100,362,0.0801,0.0,50,0.7779,Precision,4
2,0.5,1.0,300,6084,0.0825,0.0,150,13.361,Precision,4
2,0.5,1.0,500,36254,0.0873,0.0,250,105.1358,Precision,4
2,0.5,0.5,100,362,0.0791,0.0,50,0.785,Precision,4
2,0.5,0.5,300,6084,0.0726,0.0,150,13.6351,Precision,4
2,0.5,0.5,500,36254,0.0734,0.0,250,106.1251,Precision,4
2,1.0,1.0,100,362,0.0791,0.0,50,0.7668,Precision,4
2,1.0,1.0,300,6084,0.0726,0.0,150,13.5607,Precision,4
2,1.0,1.0,500,36254,0.0734,0.0,250,106.0269,Precision,4
4,1.0,0.0,100,362,0.1996,0.0096,25,1.3609,Precision,4
4,1.0,0.0,300,6084,0.1488,0.002,75,33.8744,Precision,4
4,1.0,0.0,500,36254,0.1289,0.0027,125,300.1892,Precision,4
4,1.0,0.5,100,362,0.1695,0.011,25,1.3642,Precision,4
4,1.0,0.5,300,6084,0.1594,0.0025,75,31.08,Precision,4
4,1.0,0.5,500,36254,0.1522,0.0007,125,268.5576,Precision,4
4,0.5,1.0,100,362,0.1795,0.0102,25,1.3678,Precision,4
4,0.5,1.0,300,6084,0.1869,0.0005,75,29.0002,Precision,4
4,0.5,1.0,500,36254,0.1938,0.0001,125,249.5617,Precision,4
4,0.5,0.5,100,362,0.1747,0.0107,25,1.3517,Precision,4
4,0.5,0.5,300,6084,0.1688,0.0014,75,30.0494,Precision,4
4,0.5,0.5,500,36254,0.1696,0.0005,125,256.0634,Precision,4
4,1.0,1.0,100,362,0.1747,0.0107,25,1.3625,Precision,4
4,1.0,1.0,300,6084,0.1688,0.0014,75,29.8684,Precision,4
4,1.0,1.0,500,36254,0.1696,0.0005,125,254.0111,Precision,4
6,1.0,0.0,100,362,0.3344,0.0482,16,1.9573,Precision,4
6,1.0,0.0,300,6084,0.2063,0.0079,50,46.946,Precision,4
